시도명,2018,2019,2020,2021,2022,2023,합계
서울특별시,35178562,52778622,51848535,59573231,72188428,,271567378
부산광역시,10391095,16391322,17163776,18663646,23312653,,85922492
대구광역시,4639940,7690366,7688847,9746552,12588893,,42354598
인천광역시,12780012,20666093,20427842,22410032,28016884,,104300863
광주광역시,2833262,4495743,4280749,5200743,6632240,,23442737
대전광역시,3384739,5338112,5526749,6563872,9061148,,29874620
울산광역시,2427048,3744941,4146326,5087775,6289833,,21695923
세종특별자치시,1150238,1772848,1993358,2458127,3079752,,10454323
경기도,63594041,95778607,110525133,126825611,154197631,,550921023
강원도,24153534,30784199,34837824,39088028,47043265,,175906850
충청북도,5678499,8555246,9356049,11656894,14769522,,50016210
충청남도,9960392,14341804,15790378,18946740,23803428,,82842742
전라북도,6263838,9350846,9731549,11221464,13857526,,50425223
전라남도,7317441,10851848,12608947,14277017,16844686,,61899939
경상북도,8762607,13370836,14068728,18506042,22626115,,77334328
경상남도,12026741,17800407,18910399,21923108,26401845,,97062500
제주특별자치도,9021519,12857563,14538775,20027718,20557288,,77002863
