,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.000859212875366211,0.00044615192708342266,0.0004017353057861328,0.0004920339360458421,sigmoid,0.001,3,100,"{'kernel': 'sigmoid', 'gamma': 0.001, 'degree': 3, 'C': 100}",1.0,0.875,1.0,0.9583333333333334,0.9166666666666666,0.95,0.048591265790377515,1
2,0.0008109569549560547,0.000406072060222328,0.00019993782043457032,0.0003998756408691407,sigmoid,0.0001,4,1000,"{'kernel': 'sigmoid', 'gamma': 0.0001, 'degree': 4, 'C': 1000}",1.0,0.875,1.0,0.9583333333333334,0.9166666666666666,0.95,0.048591265790377515,1
4,0.0,0.0,0.0,0.0,linear,,3,100,"{'kernel': 'linear', 'degree': 3, 'C': 100}",1.0,0.875,1.0,1.0,0.875,0.95,0.06123724356957945,1
9,0.000599527359008789,0.0004895591358709884,0.00040192604064941405,0.000492269611025704,sigmoid,0.0001,3,1000,"{'kernel': 'sigmoid', 'gamma': 0.0001, 'degree': 3, 'C': 1000}",1.0,0.875,1.0,0.9583333333333334,0.9166666666666666,0.95,0.048591265790377515,1
5,0.0006026744842529297,0.0004921136989644505,0.000796651840209961,0.00039842101860048724,rbf,0.001,,10,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 10}",0.9166666666666666,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.875,0.9,0.042491829279939865,5
6,0.0010022640228271485,5.813503514910954e-06,0.0001979351043701172,0.0003958702087402344,sigmoid,0.001,4,10,"{'kernel': 'sigmoid', 'gamma': 0.001, 'degree': 4, 'C': 10}",0.875,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875,0.058925565098878974,6
3,0.0,0.0,0.0,0.0,sigmoid,0.01,3,1000,"{'kernel': 'sigmoid', 'gamma': 0.01, 'degree': 3, 'C': 1000}",0.7916666666666666,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.8083333333333333,0.020412414523193187,7
8,0.0,0.0,0.0,0.0,sigmoid,0.01,3,1,"{'kernel': 'sigmoid', 'gamma': 0.01, 'degree': 3, 'C': 1}",0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.6916666666666667,0.020412414523193187,8
1,0.0011996746063232422,0.00040009025666136835,0.0007992744445800781,0.0003996372649613014,rbf,0.0001,,1,"{'kernel': 'rbf', 'gamma': 0.0001, 'C': 1}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,9
7,0.0006083488464355469,0.0008040187250898288,0.0,0.0,sigmoid,0.001,3,1,"{'kernel': 'sigmoid', 'gamma': 0.001, 'degree': 3, 'C': 1}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,9
